predicted_label,is_label_issue,label_score,A_probability,B_probability,C_probability,D_probability,F_probability
C,False,0.7288877,0.04077772,0.12642701,0.7288877,0.03175907,0.07214851
C,False,0.729815,0.039255988,0.12543853,0.729815,0.035961583,0.06952898
D,False,0.38222232,0.066825464,0.04806365,0.00021295999,0.50267565,0.38222232
C,True,0.094033055,0.094033055,0.09863735,0.61174756,0.12020852,0.0753735
D,False,0.57727265,0.11202731,0.055931777,0.1302825,0.57727265,0.12448577
C,False,0.6888566,0.039479095,0.054863732,0.6888566,0.1681591,0.0486415
B,False,0.12166126,0.071386576,0.74561465,0.026462138,0.12166126,0.034875397
B,False,0.55260074,0.047550343,0.55260074,0.18041882,0.14954337,0.06988676
F,False,0.449378,0.097626686,0.07884797,0.0031858678,0.3709615,0.449378
A,False,0.76471657,0.76471657,0.07013543,0.025023166,0.023086881,0.11703795
A,True,0.10694568,0.6152612,0.18012747,0.0051444313,0.092521325,0.10694568
D,False,0.6429277,0.0817951,0.17489986,0.034518443,0.6429277,0.06585888
D,False,0.74095327,0.066149175,0.1174377,0.009659794,0.74095327,0.065800056
D,False,0.61167413,0.08736167,0.16207701,0.07393302,0.61167413,0.06495413
C,False,0.42767105,0.21606727,0.08993964,0.42767105,0.13274394,0.1335781
C,False,0.69349575,0.07011048,0.115014374,0.69349575,0.06560791,0.055771448
A,False,0.409721,0.409721,0.3839507,0.09040703,0.06619017,0.049731098
A,False,0.691918,0.691918,0.10988466,0.053848963,0.021286488,0.12306193
B,False,0.7014385,0.052750397,0.7014385,0.058248162,0.07365793,0.11390505
F,False,0.8590425,0.088054575,0.020048382,0.002201443,0.03065301,0.8590425
A,False,0.761329,0.761329,0.08688224,0.01572069,0.012269315,0.12379877
B,True,0.021607315,0.057754837,0.81897247,0.05920459,0.042460777,0.021607315
F,False,0.81524885,0.09706922,0.035664678,0.0058239847,0.04619321,0.81524885
C,False,0.6423616,0.077106096,0.07113837,0.6423616,0.15043525,0.058958728
C,False,0.5633267,0.05060219,0.21308437,0.5633267,0.10570359,0.06728317
B,False,0.23102272,0.034800377,0.6058179,0.090940595,0.23102272,0.03741846
B,True,0.062318146,0.057101626,0.62717164,0.12473049,0.062318146,0.12867816
B,False,0.48230854,0.101464316,0.48230854,0.19778666,0.10716661,0.11127387
C,False,0.6192247,0.048842948,0.20087448,0.6192247,0.06430446,0.0667534
D,False,0.6691105,0.040247623,0.04851411,0.06545048,0.6691105,0.17667726
F,False,0.65687054,0.091299824,0.08823569,0.033013556,0.13058037,0.65687054
B,False,0.69166434,0.043836556,0.69166434,0.06754337,0.12975423,0.067201436
C,False,0.5339893,0.11649011,0.12805255,0.5339893,0.10688218,0.11458588
B,False,0.64797425,0.041442133,0.64797425,0.08491273,0.17230898,0.05336188
A,False,0.95321524,0.95321524,0.0020286727,0.00081765384,0.0008347702,0.043103665
C,False,0.7251552,0.04971344,0.06261031,0.7251552,0.11831905,0.044202004
C,False,0.6866313,0.060065072,0.07388239,0.6866313,0.12246351,0.05695778
C,True,0.07201597,0.07201597,0.10182409,0.67646265,0.09593885,0.05375842
C,False,0.5285557,0.059306763,0.22950163,0.5285557,0.10457623,0.07805973
D,False,0.110245444,0.110245444,0.21209118,0.25021318,0.35242742,0.07502277
B,False,0.5520566,0.037572958,0.5520566,0.0479231,0.3330099,0.029437426
C,False,0.60794723,0.08194847,0.14634138,0.60794723,0.09494459,0.06881836
B,False,0.7223861,0.047785368,0.7223861,0.08067861,0.092168584,0.056981258
B,False,0.13887975,0.08349647,0.48882905,0.15771942,0.13887975,0.13107535
C,True,0.10110046,0.10110046,0.1836777,0.5851614,0.070829764,0.059230637
D,False,0.75183094,0.043582,0.041168053,0.036039688,0.75183094,0.12737934
F,True,0.03836181,0.03836181,0.0077572227,0.003982108,0.016506514,0.93339235
C,True,0.04292906,0.04789255,0.098556206,0.7540301,0.0565921,0.04292906
B,False,0.75482094,0.060884424,0.75482094,0.025974672,0.12809803,0.030221913
D,False,0.25180477,0.11375637,0.25180477,0.20519328,0.3174632,0.11178241
B,False,0.6689817,0.055308808,0.6689817,0.02478943,0.20997651,0.0409436
C,False,0.42016536,0.15923198,0.11350298,0.42016536,0.20337565,0.10372404
A,False,0.6313163,0.6313163,0.12817936,0.055674255,0.029414326,0.15541573
B,False,0.5375781,0.10294928,0.5375781,0.0972887,0.1293893,0.13279465
A,True,0.10057189,0.72873276,0.09950377,0.029975493,0.041216046,0.10057189
A,False,0.6341144,0.6341144,0.19068176,0.050616663,0.024374072,0.10021317
B,False,0.6989822,0.08685393,0.6989822,0.052707344,0.07866832,0.082788214
F,False,0.46256787,0.14290103,0.022242282,0.0020243875,0.3702644,0.46256787
B,False,0.7380686,0.0470561,0.7380686,0.05758353,0.12221972,0.035072096
C,False,0.63050026,0.047063984,0.15386334,0.63050026,0.10030104,0.0682714
C,False,0.69115305,0.072965905,0.121727124,0.69115305,0.041760594,0.07239329
B,False,0.61915267,0.048577316,0.61915267,0.17823425,0.10855906,0.045476723
A,False,0.46129712,0.46129712,0.29788634,0.005998249,0.04510259,0.18971568
B,False,0.45101768,0.09515097,0.45101768,0.12483045,0.10256288,0.226438
B,False,0.1296631,0.053794544,0.6939274,0.06896398,0.053650975,0.1296631
D,False,0.32278228,0.16696438,0.205829,0.10823403,0.32278228,0.19619028
B,False,0.116689645,0.08134887,0.6219565,0.04245202,0.13755289,0.116689645
D,False,0.51254654,0.09561906,0.2712549,0.048615053,0.51254654,0.071964435
F,True,0.025316617,0.025316617,0.0031985552,0.0012450458,0.02799957,0.94224024
D,False,0.15135269,0.15135269,0.18347251,0.118529245,0.42811662,0.11852896
B,False,0.73145986,0.032989644,0.73145986,0.086525515,0.121758245,0.027266752
D,True,0.078674965,0.078674965,0.22402184,0.042796884,0.5417377,0.112768605
C,False,0.577951,0.09099345,0.11439697,0.577951,0.11827123,0.09838734
B,False,0.68795043,0.087358035,0.68795043,0.05133491,0.08470167,0.08865493
A,False,0.5766668,0.5766668,0.19871488,0.0077117,0.07809409,0.13881251
A,False,0.5766668,0.5766668,0.19871488,0.0077117,0.07809409,0.13881251
C,True,0.061803408,0.07651063,0.060892917,0.64016426,0.16062875,0.061803408
A,False,0.94917554,0.94917554,0.004248592,0.0014421559,0.0012435439,0.04389018
A,False,0.87962705,0.87962705,0.017362114,0.0060172835,0.0035753597,0.093418166
B,False,0.51262033,0.04241767,0.51262033,0.11192205,0.29095593,0.04208406
D,False,0.38857374,0.06901974,0.21225488,0.2086504,0.38857374,0.12150127
C,False,0.7257017,0.046888016,0.07180265,0.7257017,0.099922016,0.05568552
F,False,0.83240384,0.07211143,0.022009617,0.019428534,0.054046564,0.83240384
F,False,0.9505378,0.021825865,0.0023682786,0.00068767637,0.024580453,0.9505378
C,True,0.10521424,0.15533061,0.08532504,0.5827466,0.07138354,0.10521424
A,False,0.87700355,0.87700355,0.02362087,0.0075510144,0.0039416524,0.087882884
F,True,0.0545349,0.0545349,0.022017084,0.012322979,0.033767264,0.8773578
D,False,0.15378264,0.15378264,0.18478622,0.14129508,0.39758235,0.12255374
A,False,0.78977305,0.78977305,0.031814627,0.018642038,0.005227998,0.15454233
B,False,0.20610204,0.049255636,0.6563162,0.04312012,0.20610204,0.04520598
A,False,0.5427947,0.5427947,0.19219147,0.06669488,0.065478005,0.13284092
C,False,0.5049095,0.06256324,0.18728955,0.5049095,0.16386995,0.081367776
F,False,0.57036936,0.08729653,0.1423702,0.02962335,0.1703406,0.57036936
F,False,0.78581864,0.10350057,0.0395371,0.002002719,0.06914099,0.78581864
C,False,0.69536847,0.046430547,0.086374834,0.69536847,0.13929021,0.032535937
C,False,0.7844674,0.03277661,0.056633364,0.7844674,0.08616139,0.039961234
A,False,0.9372045,0.9372045,0.002257432,0.0011434508,0.00074298854,0.05865162
B,False,0.70284367,0.055161405,0.70284367,0.04915621,0.07031332,0.122525476
C,True,0.08913795,0.11412672,0.106068276,0.5858622,0.10480485,0.08913795
D,False,0.41575915,0.093862616,0.19076364,0.25156027,0.41575915,0.04805439
B,True,0.109577276,0.15667352,0.45314974,0.12760907,0.109577276,0.15299036
B,False,0.2402912,0.035192534,0.6089951,0.07780822,0.2402912,0.03771297
B,False,0.5106586,0.09405355,0.5106586,0.12398682,0.12275245,0.14854856
C,False,0.78909546,0.035007216,0.08794878,0.78909546,0.033877812,0.054070782
C,False,0.67171776,0.057752095,0.12154429,0.67171776,0.08455298,0.064432815
A,False,0.61816645,0.61816645,0.16372749,0.064226374,0.031236554,0.12264315
A,False,0.62587893,0.62587893,0.16846296,0.06708074,0.036574997,0.102002405
F,False,0.78905076,0.10248864,0.043672986,0.0079170875,0.05687051,0.78905076
F,False,0.8336787,0.06172674,0.038428795,0.015738416,0.050427325,0.8336787
C,True,0.051069397,0.051069397,0.1456115,0.6619173,0.084024504,0.05737724
B,False,0.76241195,0.04190881,0.76241195,0.037134025,0.120219804,0.038325362
A,False,0.13530059,0.6632534,0.14640614,0.0051312484,0.049908582,0.13530059
B,False,0.757918,0.044974916,0.757918,0.062212646,0.056027055,0.07886744
F,False,0.97469646,0.014124761,0.0007106307,5.2219297e-05,0.010415895,0.97469646
C,False,0.56178,0.10206113,0.14020841,0.56178,0.1145644,0.08138605
A,False,0.9362649,0.9362649,0.0031318131,0.0014053005,0.00082973373,0.058368288
B,False,0.7629585,0.040206365,0.7629585,0.044952016,0.09476444,0.057118647
D,False,0.5070442,0.13026181,0.16970089,0.04755454,0.5070442,0.14543855
A,False,0.96019715,0.96019715,0.00061322557,0.00020467225,0.0002208356,0.03876411
A,False,0.89085454,0.89085454,0.009647614,0.003390864,0.0018893213,0.094217725
B,False,0.7067901,0.08493625,0.7067901,0.02545549,0.058663357,0.12415479
F,False,0.83143485,0.09437792,0.026911652,0.0028663953,0.044409234,0.83143485
B,True,0.0764189,0.09891799,0.73332536,0.015570322,0.07576747,0.0764189
B,False,0.13622789,0.0431979,0.6911436,0.07466464,0.13622789,0.054766037
B,False,0.14689314,0.048598908,0.53791463,0.19315442,0.14689314,0.07343879
B,True,0.055946022,0.040629227,0.77792174,0.041426323,0.0840767,0.055946022
C,False,0.61646074,0.11696454,0.10812481,0.61646074,0.07663403,0.08181587
F,False,0.7899741,0.082727395,0.030211931,0.026427742,0.07065886,0.7899741
B,False,0.7311349,0.061203677,0.7311349,0.032738216,0.09163375,0.083289415
B,False,0.5740672,0.040506195,0.5740672,0.021351434,0.33847743,0.025597751
D,False,0.7897674,0.03686155,0.07589602,0.042533837,0.7897674,0.054941278
D,False,0.5855661,0.109020434,0.17330623,0.04571715,0.5855661,0.08639004
C,False,0.6969975,0.042772856,0.08162297,0.6969975,0.15464392,0.023962751
C,False,0.7142299,0.049818862,0.094420366,0.7142299,0.11203879,0.02949211
B,True,0.08138806,0.05278624,0.6077565,0.15838036,0.08138806,0.09968883
B,False,0.6054019,0.04441859,0.6054019,0.13312837,0.15401302,0.06303817
C,False,0.65811455,0.042675316,0.17114474,0.65811455,0.08084704,0.047218334
F,False,0.832471,0.09096243,0.026003689,0.001609059,0.048953883,0.832471
B,False,0.44994324,0.054115225,0.44994324,0.09655286,0.27013847,0.1292502
C,False,0.28142256,0.05381594,0.079007104,0.39995176,0.28142256,0.18580262
B,False,0.74881154,0.066795595,0.74881154,0.028907005,0.04836879,0.10711706
D,False,0.66801643,0.065045334,0.05350695,0.13476223,0.66801643,0.07866911
C,True,0.03785976,0.03785976,0.20372406,0.57538474,0.16149034,0.021541087
F,False,0.4867107,0.050858278,0.015053017,0.00015600355,0.44722205,0.4867107
B,False,0.6270967,0.058137912,0.6270967,0.13809375,0.048927516,0.12774408
A,False,0.9559903,0.9559903,0.010510219,0.0010675824,0.0036595662,0.028772304
A,False,0.45652375,0.45652375,0.24639499,0.00936445,0.06855191,0.21916494
B,True,0.108010195,0.06832462,0.684463,0.037039932,0.10216222,0.108010195
B,False,0.6373121,0.043861903,0.6373121,0.1062873,0.16001247,0.0525262
B,False,0.682107,0.08045584,0.682107,0.031200612,0.10054437,0.105692245
C,False,0.67497003,0.055253573,0.13974446,0.67497003,0.06488407,0.065147884
A,False,0.1765997,0.7329145,0.058121674,0.024595829,0.0077682585,0.1765997
A,False,0.9095305,0.9095305,0.004639904,0.0019126327,0.0010845937,0.08283235
F,True,0.015856972,0.015856972,0.0011916354,0.00014726895,0.018403247,0.9644009
D,False,0.44381094,0.11788963,0.23379834,0.054525763,0.44381094,0.14997526
C,True,0.051972188,0.051972188,0.10220766,0.7365089,0.046407077,0.062904224
B,False,0.6694647,0.040920336,0.6694647,0.043687448,0.20341292,0.04251454
C,False,0.6761798,0.04595252,0.12441318,0.6761798,0.09013976,0.0633147
B,False,0.62342393,0.03548767,0.62342393,0.058587067,0.24722064,0.035280634
A,False,0.6307583,0.6307583,0.18020436,0.0055423123,0.07201937,0.11147567
