letter_grade,A_probability,B_probability,C_probability,D_probability,F_probability
A,0.7135941,0.083286636,0.028855255,0.008606973,0.16565706
B,0.015277978,0.49721748,0.061086133,0.39300737,0.03341105
A,0.8292582,0.033148546,0.011722888,0.0037205857,0.12214978
B,0.030250365,0.72466373,0.07107294,0.13363926,0.040373757
A,0.85199547,0.058767136,0.0010698067,0.011695433,0.07647212
D,0.027045902,0.060042035,0.0256759,0.8538859,0.033350352
C,0.08857571,0.046417173,0.74217594,0.06702391,0.055807255
D,0.06088374,0.08521646,0.06168473,0.74836814,0.043847002
D,0.07692186,0.1137068,0.070924476,0.61233985,0.12610707
C,0.0795397,0.13006073,0.61664784,0.11616706,0.057584684
C,0.070643894,0.07515908,0.7045631,0.073701724,0.07593222
B,0.056031164,0.7441072,0.08799885,0.06672883,0.045133904
A,0.87715673,0.011742517,0.0066359527,0.0015735086,0.102891326
F,0.11095685,0.0014262723,0.0001365726,0.010542569,0.87693775
C,0.28304744,0.07271163,0.51628125,0.049371593,0.078588024
C,0.27490577,0.05000812,0.55715024,0.070711955,0.047223903
C,0.03129506,0.033686765,0.8405611,0.057611465,0.036845624
A,0.8701166,0.03544921,0.0007548982,0.013222677,0.080456644
C,0.05192134,0.06127044,0.8115422,0.034878343,0.040387616
B,0.028836774,0.64987564,0.110203855,0.12213174,0.08895205
B,0.024465939,0.75742185,0.020573411,0.15340926,0.044129528
B,0.0655733,0.54219794,0.010444543,0.30785555,0.07392865
C,0.067931235,0.08584083,0.72523,0.05031655,0.07068139
F,0.19435504,0.06393042,0.0007019572,0.23441687,0.50659573
A,0.9366021,0.0027999552,0.0014160394,0.00069002894,0.05849188
A,0.8628603,0.045169972,0.008826014,0.010348233,0.07279543
B,0.033025406,0.7836751,0.017585816,0.08733683,0.07837682
B,0.045800686,0.83682376,0.012139897,0.050425373,0.054810278
A,0.6386951,0.22469637,0.037555996,0.023755131,0.07529733
B,0.026089754,0.8131033,0.040542353,0.04564347,0.074621074
B,0.029896224,0.5249246,0.08940464,0.2722153,0.08355927
D,0.112659946,0.0880647,0.009599959,0.7019887,0.08768667
F,0.09777606,0.0052441927,0.0013753368,0.008247368,0.88735706
B,0.021876888,0.6730838,0.036689993,0.23535931,0.03298999
B,0.05088308,0.7498958,0.01680393,0.06562407,0.116793066
C,0.03693221,0.05514999,0.7982042,0.06768308,0.04203058
C,0.09063452,0.06416103,0.70294046,0.052532345,0.08973159
C,0.08623203,0.08327678,0.7076518,0.039773423,0.08306595
A,0.86644506,0.032324884,0.0070561743,0.00862704,0.08554688
B,0.049974404,0.48024592,0.045225196,0.12831672,0.29623777
D,0.28685683,0.10950744,0.06878588,0.46975797,0.06509182
B,0.16296324,0.316373,0.18198667,0.24252638,0.096150756
B,0.064480394,0.695713,0.027143823,0.07147257,0.14119025
B,0.06040302,0.70092475,0.03153383,0.073646575,0.13349175
A,0.4106714,0.048047207,0.004140773,0.13911104,0.3980295
B,0.02228053,0.73607826,0.04056114,0.154287,0.046793006
C,0.049443807,0.12146464,0.6946167,0.09151816,0.042956747
A,0.9606839,0.0013859798,7.805943e-05,0.0009555931,0.03689654
C,0.093520105,0.0612168,0.7227608,0.05432382,0.068178445
B,0.0217943,0.7864307,0.037076477,0.12701222,0.027686387
D,0.062387727,0.111104615,0.026462726,0.73651826,0.06352671
C,0.10381851,0.10398147,0.6624027,0.066653125,0.06314413
C,0.27297947,0.07342551,0.48558688,0.0890257,0.07898243
C,0.0584499,0.08698429,0.5486715,0.08301332,0.222881
B,0.04709415,0.6118884,0.014829646,0.25842923,0.06775856
B,0.09875457,0.73207563,0.04193521,0.03167837,0.09555622
C,0.04196074,0.08761631,0.78320503,0.025444604,0.061773337
B,0.03036038,0.78778714,0.02354123,0.11123666,0.0470746
C,0.2483961,0.074696824,0.5394242,0.06531326,0.0721696
B,0.041363247,0.6264459,0.017114723,0.22077109,0.09430509
F,0.122254446,0.03890067,0.011699592,0.052767646,0.7743777
B,0.05364103,0.75312996,0.018550174,0.102955714,0.07172311
C,0.056834728,0.1128812,0.75040025,0.024295982,0.05558788
B,0.029155526,0.776372,0.03230068,0.045960963,0.11621078
D,0.08287764,0.38363272,0.02493376,0.48084974,0.027706115
C,0.05377388,0.07775298,0.7618578,0.04273951,0.06387579
D,0.13427939,0.03798012,0.030753104,0.6111352,0.1858522
B,0.05953067,0.65876156,0.047359776,0.13551599,0.09883201
D,0.17145188,0.047953866,0.092585884,0.5110707,0.17693762
D,0.13313626,0.12398755,0.0775702,0.59084123,0.07446476
D,0.063090846,0.11468009,0.023999183,0.72807187,0.07015805
A,0.8748735,0.048628658,0.008362041,0.0044773477,0.063658416
A,0.89901054,0.029667055,0.003046918,0.0085706245,0.059704803
C,0.22720128,0.04246786,0.57082444,0.092795715,0.06671065
B,0.029423492,0.634881,0.04210103,0.23550224,0.05809216
B,0.03141065,0.8086219,0.027929604,0.077156484,0.05488141
B,0.024399722,0.5532437,0.09909132,0.27683434,0.046430968
B,0.022139078,0.7727762,0.0191369,0.15197563,0.033972256
D,0.28243196,0.10649344,0.024333144,0.4863773,0.10036415
B,0.040720303,0.8000953,0.017215595,0.051444907,0.090523876
C,0.06062243,0.075482376,0.74031276,0.10199136,0.02159103
A,0.7182041,0.14335653,0.023586944,0.009624651,0.1052278
A,0.95666784,0.0020930558,4.322994e-05,0.0009211402,0.040274758
A,0.7263669,0.017170629,0.010280696,0.0031978348,0.24298395
D,0.029357376,0.1345599,0.01215174,0.8133417,0.010589317
B,0.036083095,0.57750154,0.08580632,0.060925655,0.23968345
C,0.07869025,0.124165855,0.6635259,0.06406779,0.06955022
D,0.09372804,0.12718129,0.088710524,0.5367632,0.15361695
C,0.07290402,0.08980953,0.6450231,0.11885343,0.07340989
C,0.05649795,0.11610598,0.72819185,0.048136298,0.051067874
D,0.041398622,0.04100131,0.04696565,0.7666755,0.10395894
B,0.028502671,0.83603406,0.030533098,0.068865575,0.036064602
C,0.06969221,0.084856756,0.7107739,0.052306578,0.08237052
A,0.69969803,0.17447066,0.035336845,0.03837256,0.052121885
F,0.12663597,0.008699933,0.002746165,0.011444656,0.8504733
B,0.021387234,0.7331254,0.019055597,0.19592611,0.03050565
F,0.0716209,0.002204891,0.0001104814,0.0067381533,0.9193256
C,0.047501147,0.12813973,0.73485947,0.03120308,0.058296584
A,0.6496135,0.17117411,0.00409112,0.014695913,0.1604253
B,0.025918486,0.75752085,0.07678446,0.077755354,0.06202089
C,0.24927364,0.10055034,0.4591205,0.13528779,0.05576775
A,0.8269268,0.04450942,0.017340116,0.008740817,0.10248291
A,0.8197035,0.076069936,0.01679002,0.014153446,0.073283136
D,0.18941812,0.043597925,0.071363986,0.5156938,0.17992622
C,0.045550026,0.05367288,0.833528,0.025037007,0.042212114
A,0.9145156,0.019838816,0.0076421825,0.0042103333,0.053793095
C,0.059263043,0.032558706,0.7457676,0.10230466,0.060105987
B,0.027058337,0.8112097,0.034275368,0.04306128,0.08439535
C,0.058594752,0.08232059,0.7380627,0.06317302,0.05784896
F,0.084279865,0.01245732,0.003530731,0.01897271,0.88075936
C,0.10669478,0.039195195,0.70522624,0.062239952,0.086643815
F,0.11486255,0.020241227,0.0068688146,0.023999348,0.8340281
B,0.021175439,0.59050584,0.036889296,0.3084142,0.04301526
B,0.037073433,0.5148486,0.079919994,0.08562332,0.28253466
B,0.07663599,0.7441477,0.014739782,0.0805345,0.083942026
A,0.7338767,0.11939261,0.0031956139,0.030791711,0.11274342
C,0.12517136,0.08833136,0.6509256,0.07025188,0.065319836
C,0.2705928,0.05169732,0.4418165,0.13704887,0.09884451
C,0.034660347,0.042105056,0.6343216,0.10630454,0.18260847
B,0.029336665,0.75021064,0.037939668,0.07382362,0.10868943
C,0.030057892,0.047263376,0.8478649,0.05515755,0.0196563
C,0.05685144,0.06852202,0.61167634,0.059883587,0.20306665
D,0.033897713,0.031491913,0.05147177,0.81698203,0.066156596
C,0.09835847,0.029797826,0.7508743,0.080211364,0.040758096
A,0.9386703,0.0112010315,0.0019559949,0.0023060415,0.04586663
B,0.029514607,0.60263425,0.06792246,0.24800734,0.051921375
D,0.061683074,0.114557765,0.024478322,0.7307631,0.06851778
B,0.04840604,0.74776804,0.013377873,0.12763722,0.06281076
A,0.7619292,0.12401809,0.020217136,0.012178985,0.0816566
B,0.028321756,0.6108068,0.052578967,0.28342134,0.02487111
C,0.10226625,0.0469051,0.716225,0.05472891,0.07987463
D,0.088185236,0.14567949,0.027311547,0.6650845,0.073739246
A,0.6749238,0.14763872,0.0028096172,0.034326382,0.1403015
C,0.059404183,0.058530275,0.7257219,0.07610879,0.080234885
F,0.08711159,0.01106899,0.004049079,0.023220895,0.87454945
B,0.06447711,0.7321104,0.035094902,0.06251117,0.10580648
D,0.24548621,0.12685633,0.03340021,0.49763718,0.09662004
A,0.84247816,0.04214386,0.012447366,0.003178831,0.09975174
A,0.7733358,0.01126423,0.0017319059,0.0021839058,0.2114841
B,0.028448183,0.82245314,0.021657838,0.0804563,0.046984497
