letter_grade,A_probability,B_probability,C_probability,D_probability,F_probability
C,0.07088527,0.08109039,0.68986714,0.060335796,0.09782139
B,0.05707379,0.76940465,0.0644464,0.052128676,0.056946464
C,0.120885774,0.04709983,0.508028,0.072684616,0.25130183
C,0.047565743,0.088390164,0.7486696,0.066315666,0.04905883
B,0.032482643,0.8304777,0.032790776,0.073332995,0.030915886
A,0.71894526,0.018395886,0.0068763327,0.0015582631,0.25422424
D,0.030170668,0.051392227,0.07209175,0.81379455,0.032550853
D,0.1320357,0.120917864,0.1686849,0.49425563,0.08410591
B,0.027241258,0.57141066,0.021202767,0.31604502,0.064100355
A,0.93921345,0.0078131175,0.0030042077,0.001006397,0.048962872
B,0.023540553,0.7689595,0.021215493,0.14259237,0.043692105
F,0.22602533,0.005014499,0.000638591,0.007789431,0.76053214
B,0.045800686,0.83682376,0.012139897,0.050425373,0.054810278
D,0.10001426,0.101020925,0.04172845,0.6539691,0.103267215
A,0.87715673,0.011742517,0.0066359527,0.0015735085,0.102891326
D,0.049720086,0.15152317,0.021924239,0.71591973,0.06091275
A,0.98341763,0.0027406837,7.605507e-05,7.550663e-05,0.0136901485
D,0.088185236,0.14567949,0.027311547,0.6650844,0.073739246
F,0.07158814,0.0019170158,0.0019745512,0.0031262846,0.921394
C,0.2337988,0.079971686,0.58592564,0.04633595,0.05396794
A,0.67221457,0.02438417,0.009948384,0.0031386428,0.29031423
A,0.87899315,0.049166165,0.009691896,0.007689102,0.054459617
C,0.07378144,0.051450204,0.758415,0.044520535,0.071832865
F,0.11166485,0.046951108,0.011815703,0.066379584,0.7631887
B,0.021371583,0.66233796,0.031438448,0.2568684,0.027983628
A,0.785941,0.08864271,0.015464739,0.020184522,0.08976704
D,0.04029779,0.11970393,0.02110377,0.7864202,0.03247427
B,0.096913315,0.5593285,0.15747178,0.06600259,0.12028388
B,0.08207371,0.66810954,0.045181926,0.1323223,0.072312534
B,0.03957405,0.57125425,0.007841275,0.34361753,0.037712876
A,0.75913334,0.074570805,0.026896406,0.022050397,0.11734903
B,0.06395445,0.6431463,0.04462089,0.14684257,0.101435825
B,0.01805554,0.6008904,0.062262945,0.2849026,0.03388849
B,0.069220275,0.63741344,0.15355699,0.065697685,0.07411163
C,0.05353725,0.07368633,0.7457456,0.061152585,0.06587821
C,0.29077643,0.06089095,0.5068199,0.05219637,0.08931637
A,0.8628603,0.04516997,0.008826015,0.010348233,0.07279543
B,0.030360382,0.78778714,0.023541227,0.11123666,0.0470746
B,0.022139078,0.7727762,0.0191369,0.15197563,0.033972256
C,0.0812422,0.066738404,0.6850203,0.08541425,0.0815848
C,0.21736126,0.08423842,0.6068767,0.056476586,0.035047084
A,0.9315052,0.008312043,0.0023714455,0.0006624014,0.05714883
B,0.020079564,0.66728604,0.022570651,0.2686923,0.021371413
A,0.90718615,0.0061528655,0.005471847,0.0013051138,0.07988405
C,0.07776976,0.048078943,0.76632136,0.08051611,0.027313828
C,0.09161361,0.06901643,0.473249,0.11578961,0.25033134
B,0.10517824,0.7477579,0.03466056,0.038191132,0.074212104
B,0.05405756,0.60144067,0.040238906,0.18153378,0.12272907
A,0.8197035,0.076069936,0.016790023,0.014153446,0.073283136
C,0.06969221,0.084856756,0.7107739,0.052306585,0.08237052
A,0.8005391,0.057771258,0.021343537,0.01671054,0.103635654
B,0.0655733,0.54219794,0.010444543,0.30785555,0.07392865
C,0.2705928,0.051697318,0.4418165,0.13704887,0.09884451
C,0.10581446,0.042331796,0.69009995,0.060973752,0.100780055
C,0.08931236,0.101374276,0.6852399,0.07335056,0.050722837
B,0.04987406,0.43227452,0.035855513,0.14577258,0.3362233
C,0.09082145,0.04398843,0.7158241,0.05270919,0.0966568
A,0.94617355,0.002831363,0.0012710484,0.00040923114,0.049314834
C,0.067931235,0.08584083,0.72523,0.05031655,0.07068139
B,0.049624555,0.6343515,0.04196698,0.1566526,0.11740437
C,0.026297588,0.062341064,0.8235313,0.059770733,0.02805924
B,0.034099147,0.7765235,0.021820607,0.09610833,0.07144848
D,0.028295413,0.029011235,0.04201074,0.8153874,0.08529516
D,0.11604317,0.09885338,0.026711933,0.69440526,0.06398624
A,0.80167806,0.12022651,0.01753807,0.023975482,0.03658185
B,0.027058337,0.8112097,0.034275368,0.04306128,0.08439535
B,0.031707674,0.76439345,0.028375436,0.061810173,0.11371328
D,0.14719146,0.11295762,0.16715768,0.5090791,0.06361412
D,0.10581685,0.09787744,0.07442231,0.65431315,0.0675703
C,0.050304968,0.13925253,0.6515289,0.121748485,0.037165128
C,0.06870353,0.045305897,0.7419002,0.11673237,0.027358046
D,0.28812203,0.11547594,0.025126869,0.44101876,0.13025643
A,0.36229214,0.13858116,0.08848819,0.3293938,0.081244744
B,0.01961422,0.44581962,0.09264699,0.4009112,0.041007943
B,0.04600878,0.81673396,0.0117243575,0.05291218,0.07262069
C,0.103087746,0.116251975,0.63332963,0.06174901,0.085581616
B,0.11306678,0.55800027,0.14358096,0.052105945,0.13324605
C,0.048945166,0.06369106,0.78981036,0.0446408,0.052912656
B,0.041363247,0.6264459,0.017114723,0.22077109,0.09430509
F,0.11095685,0.0014262723,0.0001365726,0.010542569,0.87693775
B,0.018112436,0.5392309,0.031359795,0.3767497,0.034547187
A,0.7748935,0.08768181,0.0018537104,0.026162729,0.10940821
B,0.03951475,0.8320159,0.027092027,0.03478064,0.066596776
D,0.07993591,0.08420433,0.059796598,0.72535694,0.05070622
D,0.26514283,0.15987349,0.026110176,0.4292277,0.11964581
B,0.023478175,0.6013768,0.027387086,0.30231544,0.045442514
B,0.056693308,0.79466695,0.034540296,0.026397225,0.08770221
C,0.072125815,0.14657713,0.6874282,0.056704126,0.037164748
A,0.8477942,0.05378523,0.00096054585,0.008405823,0.089054234
B,0.058277458,0.73674357,0.015696567,0.13895947,0.050322924
C,0.09835847,0.029797826,0.7508743,0.080211364,0.040758096
B,0.035495404,0.770171,0.011967137,0.1435315,0.038834956
B,0.025948977,0.8168963,0.028737657,0.050659135,0.077757955
D,0.10384847,0.13651675,0.01735954,0.6430092,0.09926602
B,0.029626368,0.7764768,0.024622697,0.11248253,0.056791604
C,0.07509541,0.060225904,0.701197,0.068737715,0.09474398
C,0.043941643,0.065092765,0.8093051,0.04727076,0.03438975
A,0.7285292,0.11199912,0.023317203,0.032669026,0.103485465
D,0.063090846,0.11468008,0.023999183,0.72807187,0.07015805
A,0.9713259,0.002218032,0.00026695168,0.00016170896,0.026027486
F,0.09777607,0.0052441927,0.0013753368,0.008247368,0.88735706
C,0.029858626,0.041478068,0.81164515,0.07089368,0.046124525
A,0.7338767,0.119392596,0.0031956139,0.030791711,0.11274342
B,0.029175809,0.6670717,0.018543659,0.25003457,0.03517431
A,0.96872526,0.0015478901,0.00031177312,0.00013538996,0.029279727
A,0.9395089,0.0035191453,0.0016692162,0.00045396754,0.054848775
B,0.08878992,0.50799555,0.04373844,0.10106099,0.25841516
C,0.0584499,0.08698429,0.5486715,0.08301332,0.222881
B,0.025112648,0.7244954,0.011006447,0.20441428,0.03497121
B,0.03891316,0.7206476,0.016823787,0.15628563,0.06732989
B,0.03736617,0.59608865,0.021126812,0.07922281,0.26619554
A,0.7761586,0.058492754,0.020175822,0.011507137,0.13366576
C,0.12262495,0.044304818,0.64265966,0.078874916,0.11153561
F,0.10449174,0.0043179695,0.0010171791,0.0073308405,0.88284224
D,0.03974072,0.026301581,0.02907024,0.8350014,0.06988604
C,0.056351967,0.043433536,0.79705316,0.04877309,0.0543883
C,0.061255276,0.029624157,0.6875863,0.15427442,0.06725983
C,0.055143487,0.06598571,0.57571673,0.1018794,0.20127471
B,0.033025406,0.7836751,0.017585816,0.08733684,0.07837683
C,0.10909783,0.07885678,0.6635207,0.08220542,0.06631926
C,0.06915247,0.16986835,0.65209657,0.041725475,0.06715714
B,0.065039285,0.8093753,0.02902979,0.03445853,0.06209705
A,0.9041151,0.011685893,0.003921529,0.0034740805,0.076803476
C,0.30915523,0.051489934,0.42316827,0.087086245,0.1291003
B,0.027626712,0.6660166,0.08926156,0.14413595,0.072959185
F,0.2389885,0.0016254907,3.8234306e-05,0.009256447,0.7500913
C,0.03271686,0.027166815,0.8074783,0.08988764,0.042750396
F,0.07626988,0.0013978371,0.00015172739,0.0030778842,0.91910267
B,0.021256553,0.8199158,0.033903416,0.09302794,0.031896297
B,0.050190117,0.5083975,0.03822419,0.29803434,0.105153814
A,0.93382365,0.016794387,0.0034304506,0.0015932635,0.04435823
B,0.033553265,0.58813906,0.050491985,0.24546266,0.082353085
A,0.9586749,0.0075788037,0.001675032,0.001204757,0.030866504
B,0.060647164,0.68243694,0.112935215,0.09295966,0.051020987
C,0.23263551,0.10846182,0.50643533,0.07632376,0.07614355
A,0.97747135,0.0011533019,0.0009927187,0.000105629806,0.020277062
F,0.078882284,0.007940212,8.842537e-05,0.051794566,0.86129457
B,0.044194937,0.6250369,0.017127873,0.27047005,0.04317028
B,0.10467437,0.69768,0.06372119,0.066651784,0.06727259
B,0.02057522,0.58133584,0.027917797,0.33905643,0.031114707
B,0.05169167,0.74830484,0.02867223,0.064445004,0.10688627
C,0.043618806,0.033274412,0.77881396,0.099567324,0.044725448
A,0.95502436,0.0010647724,1.4393821e-05,3.6495978e-05,0.043860026
B,0.036299936,0.7632683,0.017206596,0.07369859,0.109526575
B,0.04497906,0.78920394,0.0133836325,0.0741954,0.07823791
C,0.037172146,0.027168268,0.8194579,0.07152726,0.04467448
D,0.06374839,0.033498228,0.04188713,0.7890494,0.07181683
B,0.17396145,0.61958474,0.054274272,0.08641023,0.065769345
C,0.2658085,0.04943345,0.5462645,0.07871573,0.059777804
A,0.799574,0.08132166,0.025506575,0.022724636,0.07087309
B,0.033571083,0.8178154,0.025389092,0.072947174,0.050277196
B,0.062208794,0.7275742,0.014765229,0.10674592,0.088705875
A,0.72701555,0.14015102,0.00396506,0.026165675,0.10270272
F,0.2716548,0.007586463,0.0033009006,0.023669563,0.6937883
A,0.86770964,0.021311333,0.0065976353,0.0052660583,0.09911526
B,0.021175439,0.59050584,0.036889296,0.3084142,0.04301526
D,0.021427142,0.39042655,0.12516066,0.41126007,0.051725544
A,0.8640827,0.031096341,0.01174993,0.00652356,0.08654745
C,0.04196073,0.08761631,0.78320503,0.025444604,0.061773337
D,0.045648996,0.30962777,0.020728342,0.57045895,0.053535916
B,0.039804935,0.78139174,0.01595827,0.046931233,0.11591388
B,0.025106633,0.7075622,0.06446344,0.17578611,0.02708158
B,0.028569689,0.76583636,0.032962404,0.088835955,0.083795585
A,0.8292582,0.033148546,0.011722888,0.0037205857,0.12214978
D,0.10252814,0.13346861,0.061504215,0.5358555,0.16664355
C,0.08740515,0.06390106,0.75080967,0.053101774,0.044782408
